sno	Collected_miRNA_name	Accession	Symbol	Description	Mature_Sequence	Gene_Family	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
28	hsa-miR-138-5p	MI0000455	HGNC:MIR138-2	miR-138-2 stem-loop	MIMAT0000430	MIPF0000075; mir-138	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
29	hsa-miR-3162-5p	MI0014192	HGNC:MIR3162	miR-3162 stem-loop	MIMAT0015036		Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
30	hsa-miR-3195	MI0014240	HGNC:MIR3195	miR-3195 stem-loop	MIMAT0015079		Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
31	hsa-miR-1275	MI0006415	HGNC:MIR1275	miR-1275 stem-loop	MIMAT0005929	MIPF0000674; mir-1275	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
32	hsa-miR-630	MI0003644	HGNC:MIR630	miR-630 stem-loop		MIPF0000653; mir-630	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
33	hsa-miR-638	MI0003653	HGNC:MIR638	miR-638 stem-loop		MIPF0000486; mir-638	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
34	hsa-miR-762	MI0003892	HGNC:MIR762	miR-762 stem-loop		MIPF0000624; mir-762	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
35	hsa-miR-99b-5p	MI0000746	HGNC:MIR99B	miR-99b stem-loop		MIPF0000033; mir-10	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
36	hsa-miR-381-3p	MI0000789	HGNC:MIR381	miR-381 stem-loop	MIMAT0000736	MIPF0000018; mir-154	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
37	hsa-miR-337-5p	MI0000806	HGNC:MIR337	miR-337 stem-loop	MIMAT0004695	MIPF0000195; mir-337	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
38	hsa-miR-30a-5p	MI0000088	HGNC:MIR30A	miR-30a stem-loop	MIMAT0000087	MIPF0000005; mir-30	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
39	hsa-miR-29b-3p	MI0000105	HGNC:MIR29B1	miR-29b-1 stem-loop	MIMAT0000100	MIPF0000009; mir-29	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
40	hsa-miR-150-3p	MI0000479	HGNC:MIR150	miR-150 stem-loop	MIMAT0004610	MIPF0000197; mir-150	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
41	hsa-miR-34a-5p	MI0000268	HGNC:MIR34A	miR-34a stem-loop	MIMAT0000255	MIPF0000039; mir-34	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
